,text,rating,sentiment_label
1189,Original dan kualitas baik,5,1
639,Pengiriman cepat dan barangnya jg keliatan bagus,5,1
318,"produk sesuai pesanan saya, mantap",5,1
469,"Sy puas bisa beli murah dan 4pcs yg dipesan bisa fungsi semuanya, semoga awet dan bermanfaat. Sukses ya gan dan terimakasih.",5,1
800,"mantap,,,,,,,,mf agak lama konfirmasinya paket internet habiss,,brng bguss",5,1
89,Siiiiiiiiiippppppppp,4,1
1292,"ssuai gambar, admin nya responsif jg, mantab deh",5,1
1695,"Barang sesuai deskripsi, packing aman, pengiriman cepat, terimakasih",5,1
1671,wokeeeeeeeeeeehhhhhhhhhh bagus.........,5,1
688,Terima kasih barang sudah sampai recommended seller,5,1
1792,"Barang sesuai pesanan dan berfungsi dgn baik, thx..",5,1
594,"Barangnya sudah ada, paketnya rapih nggak cacat. Thanks",4,1
963,barang sudah diterima..txxxxxxxxxx,5,1
61,sesuai dengan deskripsi thnks,5,1
54,pengiriman cepat.... moga awet... trims seller,5,1
1643,"Barang sudah sampai dengan selamat, packing rapi pakai buble wrap jadi aman. Jam sesuai ekspetasi",5,1
805,gooddd gooooddd fast......,5,1
1568,Sangat bagus tapi gak terlalu besar,5,1
1700,"Mantap, berfungsi dengan baik gunstraplessnya",5,1
205,"Baru pesen udah sampe, Joss lah.",4,1
145,Barang sesuai..bagus pelayanan..,5,1
947,Bagus sih......... Tapi ada DOT merah ditengah bikin ganggu.,4,1
1216,Nyonya besar jadi gk cape tangannya make ini... mantapp,5,1
151,"Pesanan sudah tiba di alamat dengan selamat.
Produk sesuai dengan yang diorder, tidak ada yang cacat , respon cepat.
Oke mantap dan sukses.",5,1
809,Berfungsi dgn baik..top buat agan,5,1
961,"Sesuai, barang bagus berkualitas original",5,1
1800,dapat koleksi jam bru lgi nih... keren sangat,5,1
449,produk yang diterima asli karena tervalidasi dari HP dan qr barcode,5,1
729,Paket sudah sampai tinggal di pasang,5,1
752,Kualitas Casio tidak diragukan lah...,5,1
11,"sudah diterima barangnya dalam kondisi baik, terima kasih",5,1
100,👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,1
514,kereeeeenn bangetttt recomended seller,5,1
924,Puas. Barang berkualitas.......,5,1
647,Barang cepat sampai dan sesuai dgn gambar makasih,5,1
731,"mantaaaaaapppppppp gaannnn,sesuai",4,1
178,"Baru semalam belanja, jam 11 pagi udah sampe. Mantul!",5,1
653,Pengiriman cepat. Barang berfungsi. Thanks,5,1
1130,"sudah saya terima gan, terima kasih ya",5,1
1730,"barang sesuai gambar... pengiriman tepat waktu, fast respon membalas chat",5,1
866,"Paket sdh diterima ,sesuai pesanan",4,1
1556,"Keren jam nya puas, pengiriman cpt banget cm sehari Thanks....gan...",5,1
43,mantaaaaap barang sudah nyampek min proses cepat terimakasih. semoga makin lancar usahanya,5,1
153,Pengiriman cepat sesusai pesanan trmksh....,5,1
17,"Barang sesuai .. belum dicoba semoga Work it, Packing rapih dan cepat sampai :)",5,1
1691,bagus sesuai ekspetasi!!!!!!!!!!!!!!!!!!!!!!!!,4,1
719,Cepat sekali sampainya...dan sesuai dengan pesanan...,5,1
1655,Mantaap...Terima kasih sudah diterima :&#39;),5,1
1574,Sesuai dengan deskripsi,5,1
776,Produk bagus dan cepat sampai,5,1
222,Brg cepat sampai. Respon cepat. Packing rapi. Sesuai dgn harga. Memuaskan,5,1
1290,"Pengiriman cepat, barang sesuai pesanan",5,1
636,"Barang sudh sampai Dngn slamat, Respon Cepet , pengiriman cepT, Barang bagus harga bagus ! BIG Thanks Gan ...",5,1
50,"Lumayan, murah meriah",4,1
104,Pesanannya sudah sampai... saya sangat puas... 😎,5,1
1283,"Mantap, barang sesuai diskripsi. Tq Bos",5,1
588,mantab bosssssss... thanks bosssssss,5,1
1178,"Fast Seller,barang diterima dengan aman,sesuai dengan gambar,kualitas juga OK, Recommended 👍",5,1
493,sudah diterima....cepat dan sesuai...,5,1
378,"Thanks, sempet ada problem, tp seller bertanggung jawab",5,1
1799,"Amazing warna putihnya keren dan FUNGSIONAL 100% NORMAL , RECOMENDED SELLER barangnya baguuuuusssss.",5,1
150,"Packing rapih. Pengiriman sesuai jadwal. Product sesuai, rekomended seller deh😁👍",5,1
529,Barang sesuai deskripsi namun salah satu pipa besi gak ada *mohon lebih teliti makasih,4,1
1681,"bagus, seller fast respon
sukses gan",4,1
1141,Mantap gan...barang sesuai gambar,5,1
551,bagusbagusbagusbagusbagusbagus,5,1
1572,"Barang mantap sudah di test untuk game balap. Pengiriman sangat cepat, cuman yg saya dapet L2nya agak keras dikit.  Btw bisa getar gak ya sticknya? Hehe",5,1
391,Bagus. Barang sesuai yg dipesan,5,1
1069,Terimakasih barang sudah sampai,5,1
1274,"Cepet sampai, barang mulus dan baru, Thx ya Bata, diperbanyak yg ukuran nomor 40.",5,1
820,mantap pokok nya barang joss,5,1
970,Produk sesuai dengan gambar. Respon penjual sangat cepat dan komunikatif. Packing rapi dan pengiriman juga cepat. VERY RECOMMENDED STORE! Terima kasih banyak... :),5,1
1057,terima kasih barang pesanan udah diterima sesuia pesanan dan cepat,5,1
714,"Produk original, sesuai deskripsi, seller sangat responsif karena tdnya ada masalah dgn driver gosend nya. Recommended seller! Sukses terus kak!",5,1
1666,Terima kasih semua barang sudah diterima dengan baik.,5,1
1036,"Bagus, fast charging, colokan tidak longgar",5,1
1409,Sesuai pesanan....................,5,1
1167,mnatap dhso dhdod dhdod dh sgsis egsus dgwie,5,1
993,mantap barang nya ... pertahan kn gan ...,4,1
628,barang sudah sampai. semoga bisa dipakai dengan baik dan tidak ada masalah,5,1
581,sudah beli 6 pcs di toko ini. memuaskan.,5,1
895,"Barang bagus, sesuai gambar, warna sesuai pesanan... Cuma suara alarmnya kurang keras",4,1
837,"fast respon, Thanks...........",5,1
1262,"Kualitas barang bagus, Hanya lebih kecil dari yang warna gold, warnanya bikin klop. Thanks",4,1
1750,SANGAT BAIK DAN PENGIRIMAN CEPAT,5,1
13,"Respon cepat , pengiriman standar",5,1
1462,Barangnya bagus dan pngiriman cpat,5,1
304,Goooooooooooooooooooooooood,5,1
965,produk sesuai foto dan deskripsi. pengiriman cepat. terima kasih!,5,1
1004,"barang sudah diterima dgn baik, sudah ditest lancar.... makasih",5,1
184,"Ya barang nya sesuai dgn harga nya
Bahan nya tipis",4,1
381,"Barang bagus, mantap .. semoga kuat terus",5,1
1037,Terima kasih pesanan custom diterima dengan baik,5,1
695,"Brngnya sdh diterima dgn baik, brngnya sdh dites dan normal, semoga awet...trima ksh.",5,1
1008,maaf terlambat konfirmasi...maksih yaaa.. barang sampai dngn slamat,5,1
1411,"pesanan sudah tibah mbak?
terimah kasih",5,1
1622,barang sudah di terima dg baik.. thanks!,5,1
1751,barang sudah diterima....terima kasih....,5,1
619,"bagus, fungsional, kokoh",5,1
767,Nice product recommended seller,5,1
6,"Barang mendarat dengan selamat, barang kualitas ok",4,1
1470,Kereennn broww... thx..,5,1
1005,#NAME?,4,1
532,Manstaaaaabz...  Paketnya menakjubkan..,5,1
1635,"bagussss
terimakasi ,,,,,,,,,,,",5,1
309,barang telah sampai respon nya sangat cepat makasih gan,5,1
1025,Luarbiasa fastrespon recommand banget.  Barang juga sesuai deskipsi semoga awet sih..thx bosku,5,1
1687,"Mantaapppp,, berfungsi dengan normal..",5,1
1114,Mantap...barang sesuai. Maaf telat,4,1
801,Ukuranya kegedean sih.cuma barangnya oke bnget,5,1
1133,"Pelyanan yg sangat baik, penuh tanggung jawab. Makasih banyak gan",5,1
1761,Pas banget. Nyaman dipakenya. Sukaaa,4,1
1714,Barang oke dan bekerja dgn baik,5,1
1030,Jamnya baguus. Original. Dapet diskon plus gift selimut. Suka pokoknya puas,5,1
813,"Respon cepat, dan barangnya bagusss",5,1
713,"Barang Sesuai dengan deskripsi, semoga awet",5,1
718,"Barang bagus, cepat sampai, Produk bekerja dengan baik dan recommended!",4,1
1039,sudah sampai barangnya walau lama,5,1
684,"Barang sesuai harga ,smoga ber manfaat sukses semuanya",4,1
1296,"Terimakasih,,, Barangnya sudah sampai sesuai dengan keinginan.",5,1
408,"Ini adalah pembelian kedua saya di toko ini. Seller sangat responsif ketika tahu saya butuh barang ini dengan segera, kemudian mengirimkan barang beberapa saat setelah transaksi selesai. Recommended seller pokoknya",5,1
147,"Barang sesuai harga, kuat",5,1
292,thank udah di terima kwalitas oke,5,1
1242,"Barang diterima baik sesuai deskripsi, respon packing dan pengiriman aman dan lancar saat ini belum dipasang semoga berfungsi dg baik",5,1
1646,thanks gan cepat bgt sore sudah sampai,5,1
976,"sudah diterima sepatunya.. sesuai deskripsi, warna & size nya. glitter nya jg tdk copot2. bagian dalam jg empuk & cukup halus.
bundanya suka,, smoga si kecil jg nyaman & hepi pakenya :)
seller cepat & informatif, direkomendasikan!",5,1
1054,barang nyampe nya cepet dan mulus maksih gan,4,1
1672,sangat puas dg barang ini. bagus punya,5,1
250,"Packingnya sangat rapi, mantap",5,1
1731,"Barang mantap, sesuai, cepat sampai, dicoba langsung makyus",5,1
1252,"Tombol nya mudah kendor,  mungkin karena per nya yg kurang bagus, packing rapih dan aman",4,1
697,"Barang ok , tdk ada masalh bs lgs saya gunakan kerja.tx.",5,1
920,bngung ini isi staples tembak nya ukuran nomer berapa ya,4,1
1548,"Penjual cepat,  hanya pengirimannya kurang cepat. Thx u ya.",5,1
922,"barang di terima, blm sempet test",4,1
878,BAGUSSSSSSSSSSSSSSSSSSSSSSSSSS,5,1
861,good quality.........,5,1
789,Barang cepat terkirim ok bngit,5,1
599,"Terima kasih agan, barang pesanan saya sudah diterima dengan baik.",5,1
330,"barnag sudah diterima, belum coba semoga awet",5,1
1499,Service nya bagus & tdk memgecewakan,4,1
1029,"Barang sudah sampai, terima kasih.",5,1
669,Mantap gan...........,5,1
1637,"terima kasih ... barang telah diterima, semoga mantap ...akan order lagi",5,1
162,okkkeeee.........ggoooodddd... .,4,1
1696,Barang sudah diterima sesuai pesanan,5,1
350,"Pengiriman terlambat karena kurir ekspedisi salah kirim,, barang cukup memuaskan",4,1
946,Sesuai gan. Terima kasih yaa,5,1
1623,Barang sangat bagus dan tidak ada kerusakan apapun..,5,1
131,"Good
Brng bagus
Paking rapi",5,1
247,overall not bad lah untuk kado.,5,1
841,cepet sampenya. barang ok. makasi,5,1
1502,lumayan cepat kirimnya padhal kirim dr surabaya ke jkt,4,1
260,Barang sesuai. Terimakasih,5,1
317,"mantap bos ku, pengiriman cepat, rapih, ramah dan Sangat tepercaya.....",5,1
47,"Proses dn pengiriman cepat dn barangnya bagus,trims",5,1
1704,barang bagus dan cepat sampai. top markotop,5,1
374,pelayanan mantap dan melayani komplain dg baik,5,1
626,Produk sdh diterima dgn baik.,5,1
1168,"sesuai deskripsi barang, fast respond, seller ramah, semoga awet",5,1
326,alhamdulillah barang langsung sampai dengan cepat.,5,1
764,josss pokok e bisa buat langganan,5,1
275,Puas pokoknya dengan harga murah tapi kualits ok lah!,5,1
331,mantapsssssssssssssss,5,1
12,"Barang sesuai gambar & spec, thx gan",5,1
1143,Ok gan...barangnya udh diterima dg baik..respon cepet,5,1
748,Empuk sesuai diskripsi,5,1
139,"Pengiriman cukup cepat, brg sesuai harapan",5,1
1219,"barang sesuai dengan yang saya pesan,",5,1
660,"Barang mantap, langsung dicoba dan berfungsi semua",5,1
917,"Produk sudah sampai dengan baik, kecepatan pengirim sangat baik. Recommended seller",5,1
286,"Barang bagus, good seller",5,1
463,Sepatunya lucuuu. Harga cocok buat anak bayi uang pake sepatunya cepet ga muat,5,1
426,"mantab.. proses cepat... semoga awet, belom di pasang",5,1
741,"Fast respon,  barang sesuai deskripsi, pengiriman cepat...",5,1
787,Recomende..sesuai..mksh..,5,1
249,"barangnya bagus, responnya juga cepet. thanks",5,1
1782,"Barang Sesuai Deskripsi &amp; Gambar, Fast Respone, Req Seller",5,1
1403,packingnya rapi dan aman,5,1
358,pelayanan yang sangat bagus,5,1
76,barang sudah sampai dan diterima dengan baik. Recommended karena barang original dan bisa dipakai utk device-device lain juga,5,1
1739,"Barang bagus...
Trimakasih",5,1
203,Bahan halus dan sablon rapi,5,1
840,"Bener2 high quality, kabelnya tebal dan padet, rekomen deh",5,1
105,"Barang sdh diterima, respon &amp; pengiriman cepat. Tks",5,1
649,Barang sdh sampai bgs....!!!!,4,1
1020,brang sudah sampai packing rapih.. fast resfond.. Mantap..,4,1
1705,trimaksh brang telah sampai dgn utuh.,5,1
42,Barang sudah sampai gan,5,1
710,"Proses cepat,sesuai iklan,trims",5,1
943,"sempet khawatir pas ngidupin hp lama dilogo
tapi berfungsi dgn normal setelahnya",4,1
869,"Barang qulitas baik, bahan tebal. Tidak ada cacat. Recommended 👍👍",5,1
95,"Barang sampai, respon jg oke. Thk admin.",5,1
1304,"Bagus,  sesuai deskripsi dan gambar... 

5 stars on your pocket...",5,1
1663,barang yg di kirim udh sesuai sama gambar.. fast respon juga,4,1
1123,Berfungsi dengan baik dan sesuai gambar,5,1
526,Biarkan bintang yg berbicara,5,1
889,Semua berfungsi baik walau pertama ragu karena kabelnya terlalu soft takut putus di dalam,4,1
1408,Kirain tipis ternyata tebel. Bahannya bagus. Ada tali pendek sm  tali panjang. 😍😍. Love lah pokonya,5,1
1547,thx barangnya sdh saya terima......,5,1
1384,Bagus banget dehh. Walau dapet flash,5,1
32,Sesuai dengan yang diinginkan packing rapih,5,1
1272,Pelayanan cepat &amp; ramah,5,1
940,"Good seller, respon cepat, kiriman cepat.",5,1
152,barang sesuai harga n berfungsi dengan baik.,4,1
115,Barang diterima dalam keadaan baik,5,1
546,"terima kasih,  respon cepat,  barang sangat sesuai",5,1
576,Barang sudah digunakan dan berfungsi dengan baik....,5,1
721,"Barang oke, cepet sampeknya",5,1
1183,barng sesuai pesanan..mungkin habis libur lebaran jadi agak lama pihak JNE mengirimnya...terima kasih,4,1
20,"Untuk barang,dan pelayanan sudah bagus..sekedar saran untuk yg tinggi rata2 170cm keatas tidak recommended karena talinya pas2an (harus nyesuain tangan agar talinya bisa sampe bawah),..agak gk nyaman sih kalo talinya gk sesuai ☹️",5,1
352,Barang bagus sesuai diskripsinya.. Thanks,4,1
1161,suami saya happpy thanks seller ...,5,1
1092,"Produk udah diterima dg baik, dan sesuai deskripsi, thank..",5,1
438,"Produk sesuai gambar &amp; keinginan, thank u",5,1
1017,Sesuai gambar Dan lem rapi,5,1
1247,Ini kedua kalinya saya pesan dan tidak mengecewakan....,5,1
844,"Recomended seller, untuk soal packingnya tolong dibenahin lagi yaa... tapi top markotop lah",4,1
812,"Barang bagus bro, thanks",5,1
1032,"Bagus, berfungsi dgn baik sesuai deskripsi",5,1
1077,"Barang bagus, pengiriman cepat. Terima kasih",5,1
339,"Pengiriman cepat, fast respon dan barang sesuai (bagusss). Tq ka",5,1
1190,"Pengiriman cepat, barang sesuai",5,1
1413,Cepet kirimnya. Barang di bungkus rapi. Tidak ada yang rusak,5,1
833,Pelayanan cepat dan barang oke,4,1
316,"Setelah 3 hari jam nya rusak...terkadang dia jalan, terkadang mati sendiri...tolong bantuannya agar jam tsb di tukar krn tidak sesuai dengan harapan saya",5,1
494,"dikirim dan sampai dalam satu hari o_O
sangat puas :D",5,1
1127,"Barang sudah sampai dengan baik... terima kasih...

review produk:
keren banget... warna merah/hitam sangat cocok dengan Note 2 warna Titanium Grey milik saya...

posisitf:
1. keren karena terbuat dari aircraft grade aluminium...
2. warna ngejreng bikin orang pada liatin...
3. ga copot walau HP terjatuh (dan sudah pernah terjatuh)
4. cukup tipis hanya bertambah 2mm dari ukuran hp sebenarnya...
5. bagian belakang agak naik jadi cover batere belakang dan lensa kamera tidak bergesek dengan tempat kita menaruh HP seperti meja, kursi, dll

Negatif:
1. licinnnnnn... jauh lebih licin dari silicon jacket... jadi ati2 kalo mo megang bisa meluncur jatuh ke bawah...

2. karena terdiri dari 2 pieces, baigan belakang tebal, tapi bagian depan yang berwarna aga tipis, jadi kalo pas mau dilepas casingnya bisa bengkok... memang bisa dibenerin lagi dengan cara ditekan2 ke meja atau permukaan yang keras dan rata, tapi harusnya ga selemas/setipis itu yah... kan kaget juga pas pertama kali mau buka abis keluarin dari dusnya, cangkang yang depan bengkok pas di bagian tombol rocker volume...

Udah gitu aja sih... tetep keren dan worth it sih kalo mau dipake... nanti kalo Note 4 uda keluar mau ganti juga pake casing kyk begini aja ah... hehehehe...",5,1
1594,"Mantap gan barangnya, tinggal di pasang aja",5,1
140,"thank you,,barang sdah dterima dengan baik.",4,1
212,thx..............................,5,1
1013,"Barang sudah sampai di rumah dengan selamat. Dari matras dan tas matrasnya juga sama persis seperti di gambar yg diiklankan.
Overall puas belanja di lapak ini.
Terima kasih yaaa~",4,1
1488,"Produk berkualitas, recommended banget klo mau nyari stik",5,1
189,Semoga awet....................,5,1
214,respon yg baik dari penjual dan pengiriman lumayan cepat,5,1
738,"bagus gan, colokanya nyala semua",5,1
164,"Barang sesuai foto, dan warna sesuai dengan pesanan saya, terimakasih",5,1
1185,Thanks gan berfungsi dengan baik,5,1
161,"fast respon, barang sesuai",5,1
665,barang sudah diterima..tapi belum dicoba..recomended seller..,5,1
1779,"Mouse diterima dalam kondisi baik, thanks gan",4,1
1665,"Respon cepet, packing mantab, tapi barang tidak ada merknya alias polos, di gambar merknya LG..
Overall berfungsi dengan baik, dan sesuai sama harganya..
Semoga awet dan ga bermasalah ya boss.. Thanks..",4,1
1697,makasih ka...kemejanya baguss,5,1
1070,"very good respons, recommend banget lah",5,1
1085,"bagus sekali berfungsi dengan baik,semoga awet",5,1
171,brg diterima dlm kondisi bagus,5,1
18,"Barangnya mantap, pokoknya recommend seller!",5,1
862,"Ssssiiiiipppp gan,, trims ya.......",5,1
78,"Packing aman, Kualitas Original Fast respon barang sesuai pesanan ngga nyesel deh beli disini Mantap",5,1
77,"Gan barang dah sampe...sorry baru kasih testi...udah di test...tidak mengecewakan...thx ya gan...
Recommended seller..",5,1
650,Barang sesuai dengan deskripsi barang,5,1
323,barang bagus sukses terus gan,5,1
1570,Semoga awet 👌👍👍👍👍👍👍👍,5,1
1060,Kabel murah... Kalau untuk TV aja sih bagus gan... yg lainnya kurang...,5,1
1344,"barang bagus pake banget
pengiriman mantttap",5,1
1028,"Respon cepat, barang sesuai deskripsi",5,1
344,Barang sampe rumah dengan aman langsung dipake.,5,1
1155,Gan jual isi steples nya.....,5,1
1575,"barang sdh kami terima dengan baik, terima kasih omega electronic",5,1
1171,Cepat dan tepat sasaran 👍👍,5,1
342,"sepatuny bagus, sesuai dg gambar",5,1
1152,"Thank you, respown cepat pesen langsung kirim. Produk oke pokoknya mantul. Makasihhhhhh bosq",5,1
1786,barang sudah sampai dengan aman,4,1
1404,barang okay.. sesuai deskripsi dan pict.. thanks gan :),5,1
1220,Terima kasih barang sudah sampai. Pengiriman cepet. siip... many thanks...,5,1
753,Packagingnya rapi banget...pengirimannya jg gak lama...tokonya jg quick respon...mantappp..,5,1
512,Barang sesuai pesanan dan berfungsi dengan baik,5,1
875,Paket sudah diterima dengan selamat gan...,4,1
663,"Bagus gan, mertuaku sukak.",5,1
1091,"responsi dan proses cepat.
barang ok",5,1
23,barang sampai. sesuai deskripsi. seller ramah. dan cepat tanggap,5,1
8,"produk bagus dan dapat bertahan hampir 3 jam,dan sesuai dengan net book saya",5,1
1387,pelayanannya bagus dan pengirimannya cepat...,4,1
511,Sudah sampaiiii... barang bagus banget... respon juga cepat. Terimakasiiihhhh,5,1
913,"mantabb gann..

barang udh ane terima sesuai pesanan...

sukses terus gann lapaknya...",5,1
950,Baarng da sampe moga awet aja,4,1
829,"Cakep lah, barangnya sesuai dan langsung dikirim di hari yang sama",5,1
775,Puas bgt.. Terimakasiiihhh,5,1
429,Bagus &amp; murah. Makasih gan,5,1
347,Ouchlccouvpuupvvpuvpuvpuvupuovuvouovcoucoucoucoucoucuocuouv,4,1
1559,Produk Ok cuma kekurangan nya pas mau masuki aja kaki ke sepatu agak perlu perjuangan...thank u,5,1
839,"sesuai jadwal, produk berfungsi dengan baik",5,1
645,Barang bagus dan sesuai.  Thanks,5,1
1045,"Kualitas sangat baik, cepat dikirim, sangat memuaskan.. tentunya sesuai",5,1
15,"Sesuai deskripsi , packing rapi dan aman, respon asyik, recmended seller",5,1
495,"Jam tangan bagus. Sempet ga tau kalau nyala dalam gelapnya perlu disorot cahaya dulu. Setelah dikasih tau,dicoba dan berhasil.",5,1
39,"Produk bagus, cuman di pengaitnya ada yg patah.",4,1
708,oke lah biar bintang yg bicara,5,1
428,Barabg sudah sampai hanya packing kurang aman,5,1
1356,"Sesuai foto aplikasi,semoga awet",5,1
1546,Puas bangetttt..sesuai deskripsi..makasih gaann....,5,1
1772,matras sudah saya terima dengan bik,4,1
1041,Sudah sampai sesuai pesanan,5,1
673,Produk original. Thanks,5,1
842,"Barang sudah diterima, terimakasih",4,1
1492,barang dah nyampek....memuaskannn....tq,5,1
1027,Barang sdh terima. Tks tokopedia,5,1
389,"Makasih gan batere nya dah sampe n berfungsi dengan baik,packing aman dan pengiriman jg cepat",5,1
467,bagus tebal papa saya suka,5,1
168,Barang sampenya terlalu cepet. Saking cepetnya yang beli sampe salah taruh alamat. Good job gan. Makasi kirimannya. Barangnya mendarat dengan selamat,5,1
1617,Kecepatan pengiriman dan kualitas produk baik.,5,1
884,"Sudah diterima, belum dicoba. Original garansi resmi. Mudah2an TDK ada masalah.",5,1
1325,"terima kasih gan, sudah dipakai dan berfungsi dgn baik :)",4,1
573,murah lah segitu...........,4,1
356,"Barang sesuai gambar, cepat sampainya,fast respon",5,1
1590,Barang sesuai dng deskripsi.,5,1
846,siiipppp........biar bintang yang bicara bos,5,1
990,sdh sampai jam tangan...,5,1
300,Kurang cepat respon penjual nyh,5,1
142,Keren keren keren dan keren keren keren,5,1
1298,"kepuasan saya memaksa saya memberikan 5 bintang dari respon dan kecepatan pengiriman salut bahkan terkirim dalam hitungan jam.
tidak perlu di ragukan dalam hal suara dari sonic gear, dari kejernihan suara yang di hasilkan. sukses terus untuk multi komputer 👍",5,1
1618,cakeup pisann... bagus 😊,5,1
555,"Barang bagus,respon penjual cepat. Good seller",5,1
130,"Sesuai pesanan, barang original",5,1
874,"barang bagus, pengiriman cepat, thanks",5,1
1117,"Produk sesuai dan lumayan, makasih yaa",5,1
365,Barang sesuai gambar dan packingan rapi,5,1
545,Barang sesuai orderan dan kondisi bagus,5,1
1319,Thanksssssssss mnatpaaaaaaaaaa,5,1
1661,mantap gan kwalitasnya....pengirimannya ceper nyampenya....thankz,5,1
466,Skip barang berfungsi dengan baik ...,5,1
159,Mantap gan. Thankyou barang sampe cepet,5,1
1523,berfungsi dengan baik untuk sekarang (dan semoga untuk kedepannya. seller oke sangat dan responsif. recommended lah ya,5,1
218,"Pertamanya ga yakin, tapi setelah dicoba bekerja dg baik. Suaranya cukup jelas.",5,1
233,ok tepat waktuuuuuuuuuuuuuuuuuu,5,1
1457,"mungkin steples khusus triplek, klo untuk kayu cm masuk separo, tp gak papa.... Lanjutkan....",4,1
580,"Yes cocok bisa buat charge my nano spray, thanks seller, thanks Toped.",5,1
468,"Barang bagus, sangat memuaskan",5,1
1,"barang sudah diterima dengan baik, tp blm dicoba, semoga lancar&#34; semuanya",4,1
1783,Sesuai deskripsi ........BERFUNGSI semua pengiriman Reguler RASA YES ...................sehari sampai GOOD,5,1
972,cocok gan sama lem butterfly yg saya beli,5,1
1561,Pelayanan cepat barangnya mantap,5,1
777,barang sampai.. puas,5,1
1046,Good produk dan packing,5,1
236,cakep neeeeh... pengiriman cepet juga ke jkt apalagi di tengah-tengah hari libur kmrn.... sukses trus gan...,5,1
556,Barang sesuai pesanan dan deskripsi produk.,5,1
1718,bagus..... sesuai pesanan,5,1
216,"mantab, ontime, sesuai dengan gambar",4,1
934,"bagus cakep rapi, top markotop :)",5,1
451,Thanks barang udh sampe,5,1
1239,barang sudah sampai terimakasih,5,1
1365,"mantap respon cepat

recomanded",5,1
108,Makasih Sist ... barangnya sudah di terima ... puas banget... bagus. belom di buka sih tapi dr tampilan depanya oke punya. ama dapet bonus tasnya . makasih yah,5,1
1023,Barang mantap semua berfungsi normal,5,1
549,Rekomen Seller .....................,5,1
631,Barang sdh sy trima tgl.27 mei 2019...tks,5,1
1338,"thx u barangnya sudah sampai sist,, bagus dan sesuai gambar,, sukses terus yaa",5,1
284,Seperti di foto proses cepat,5,1
1498,"Sudah sampe dengan selamat, sangat cepat respon penjulanya, psen rabu sore sampe kamis sore, recommend reseller. Barang jg sesuai expetasi. Pkoknya top BeGeTe.",5,1
1679,"Semoga bisa kerja sama 

Bos",5,1
