text,rating
"packingan cmn buble 1 lapis , bahkan jamnya masih kelihatan dari luar, lain kali tolong diperhatikan packingannya",1
"barang udh nyampe sesuai pesanan, sayang ternyata ga bisa make isi staples stationery biasa yg no.3, harus di deskripsi di tulis ukuran isi staples nya..",5
"Ya barang nya sesuai dgn harga nya
Bahan nya tipis",4
"Fast respond tapi produknya ya gt lah.. kecil, tipis dan ringan sekali..",4
"pengaitnya patah 1, di cari di dalem box ga adaa patahannya, berarti murni dari seller, kacau harganya lumayan tp sia sia beli, anggep aja sedekah dah ama sellernya, ga berkah",1
"paket sudah diterima, terima kasih",5
"Baru 3 hari mati, mau retur gak direspon..
Bukan nokia.",1
Barang udah sampe boss sesuai kualitas sama harga .hehe,5
"Maaf agak kecewa, barang tidak sesuai deskripsi tidak bisa untuk telpon",2
"saya baru pakai untuk 10 menit tapi charger sudah panas banget, tolong dibantu ini diretur apa gimana ya ? waktu sebelum beli tanya juga katanya original",1
"Barang sampai sesuai prediksi, pesanan Alhamdulillah sesuai gambar, good job.",5
kualitas kurang... ada bagian agak retas,1
Less responsibility when complaint,2
Tidak bisa di pakai gan barangnya,1
Pengirimannnnn sangat lambatttttttttt,1
"Produk murah dan dapat digunakan, sesuai deskripsi",5
"kurang memuaskan gan, barang diterima satu tombol nya tidak berfungsi dan tidak sesuai deskripsi. Kecewa berat gan",1
barang ternyata jelek penyok gx memuaskan...,1
barang yang diterima kurang terjamin,1
Bahan halus dan sablon rapi,5
"Barang rusak tidak bisa nyala, minta retur barang malah ongkir returnya ditanggung pembeli. Kalo mau jualan jangan mau cari untung aja tapi perhatiin juga konsumen",1
"Baru pesen udah sampe, Joss lah.",4
"Kirim barang nya sdh rusak...
Dikomplain malah ga terima maki&amp;#34; dan menghina pembeli",1
"barang sudah diterima dengan baik. sudah saya coba hp nyala dan dalam keadaan baik. cuman tombol kanannya agak keras, terima kasih.",4
"Apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih,padahal setahu saya hape nokia iti build qualitynya sangat bagus,,,,,agak kecewa sih,tp semoga barangnya awet",2
"udah sampe dengan selamat, thanks gan",4
"pengiriman cepat, packing bagus, sayang kedetect ama lenovo not genuine. 
saya lagi apes kali.
trims",2
Barang sesuai deskripsi makasih.,5
cakep dah... barang sesuai pesanan... tanks gan...,5
walau barang berbeda tetapi respons penjual cukup bagus,2
respon yg baik dari penjual dan pengiriman lumayan cepat,5
"Respon penjual cepat,,,",4
"mantab, ontime, sesuai dengan gambar",4
Pesen 4 barang yg nyampe 2.. Walopun di refund cash.. Tp harusnya ad konfirmasi dulu...,1
"Pertamanya ga yakin, tapi setelah dicoba bekerja dg baik. Suaranya cukup jelas.",5
Hmm gimana ya :) parah si,1
"??? not good quality, not even close.",2
"Mengecewakan, intinya aku sangat kecewa ????",1
Brg cepat sampai. Respon cepat. Packing rapi. Sesuai dgn harga. Memuaskan,5
Bagus cepat sampai,5
Barang sesuai pesanan. Sudah lgsg dicoba. Recommended seller.,5
Mohon di-update jika stock tidak ada...barang tidak jadi dikirim,1
"Barangnya tidak sampai, sampainya ke orang lain atas nama entah siapa",1
barang sesuai tpi proses lambat,2
"Pengiriman &amp; reapon cepat, kualitas barang sesuai harga",4
"paket sudah di terima, terimakasih .......",5
"trimksih, berfungsi dgn baik",4
"Kegedean banget no 36 kyk no 37, gk kepake akhirnya.",2
"mantap jam tangannya,,,,,,,murah lagi dibandingkan yang lain..........gan tolong WA nya gan.............saya mau order lagi yang warna hitamnya.",5
ok tepat waktu,5
barang yg dikirim tidak sesuai pesanan,1
Dikirim barang ruksak wkwkwk,1
cakep neeeeh... pengiriman cepet juga ke jkt apalagi di tengah-tengah hari libur kmrn.... sukses trus gan...,5
"Respon dan pengiriman cepat, yg pasti produknya bagus2 dan berkualitas, thanks wakai :)",5
"Barang tidak sesuai dengan deskripsinya, packing asal2an (kardus sobek)",1
barang sudah diterima dengan baik mudah-mudahan berkah dan bermanfaat,2
Barang sesuai deskripsi. Fast respons seller!,5
"Jujur pedagangnya masalah berat,, tidak ditambah-tambah,, sehingga pembeli tidak rugi,, misalkan disini 5 kotak hanya 2 kg,, di tempat lain 2,5 kg malah ada yang 3,5. Jadi walau harga sama,, namun kalau beli banyak lebih enak beli disini, karena ongkos jadi murah.",5
Barang nya sampai jne yang salah mungkin gara?? ke lempar atau apa jadi gak bisa di pakai,1
"Barang tidak dapat dipergunakan seperti yg di promosikan.
Barang sampah",1
Barang telah saya terima. Terimakasih,5
"speaker tidak jelas, jadi belum bisa dipakai",2
barang standart n biasa aja kurang good...,2
overall not bad lah untuk kado.,5
Kecewa ga sesuai gambar .. ga ada stripnya .. ukuran udah pas.,1
"barangnya bagus, responnya juga cepet. thanks",5
"Packingnya sangat rapi, mantap",5
"kualitas barang rendah tp ya sesuai harganya, juga Barang datang dengan kondisi kaca pecah.",1
Sangat fast respon mantappu jiwaa,5
Pengemasan enggak bagus kardusnya penyet semua,2
"Produk tdk ssuai gambar,, trus ad bagian yg sdh cacat.. Ketika d charge sbntar.. Adaptor sdh panas berlebihan. Thx..",1
Bahan sepatu kaku kalau di pakai bikin kaki lecet,2
"stock lama
sudah bnyk terkelupas",1
"Saya kecewa dan kesel banget sama official store bata. Beli sandal nomor 42 yg dikirim malah nomor 40. Pantes aja gak muat pas di coba. Katanya ada nomor 42 pas saya chat. Saya kira gak ada masalah dalam pengiriman barang, ternyata ada. Mana udah terlanjut klik &#34;selesai&#34; sebelum paket dibuka krn mikirnya gak ada masalah. Tolong ya tanggung jawabnya sbg penjual ini sandalnya. Tks.",1
Minta kuning di kasih gold.  Tak ada omongan pula,1
Tidak berfungsi..........,1
Barang sesuai. Terimakasih,5
"Barangx sesuai deskripsi, diterima dlm kondisi ok, cuma sayangx baru dipakai sehari sdh robek, kualitas sesuai harga.",2
Charger Tidak berfungsi,2
maf gan.anti gores ny.kok ada gelembung gt saat d pakai.jd jelek kelihatan hpny.,1
"Fast respon pisan,  pengiriman cepat, barang sesuai",5
Terima kasih barang sudah di terima dengan baik dan sesuai pesanan,5
barang banyak goresan jadi saya pikir itu barang bekas yg d jual lgi,1
"Puasss benerr beli disini, produk sesuai deskripsi .. pelayanan ramah",5
"Barangnya bagus sesuai deskripsi, packing aman barang terjamin selamat sampai tujuan. Respon admin cepat. Mantab. Thankyou",5
"Tidak dapat batrai, produk sudah usang seperti barang bekas",1
brg oke dan kualitas bagus punya. nambun tidak ada cara pemakainya,2
Kekecilan ga sesuai standart ukuran nya.,1
"invoice ONGKIR gampade 9pcs 2,25kg,, tapi aktual timbangan ternyata hanya 0,8kg (8ons) / dibulatkan hanya 1kg, 1
Mohon d Cek Beratnya dulu sebelum Deal  Transaksi sama pembeli.. biar  pembeli tidak membuang duit sia.,1
Relatif cepat tetapi ada baiknya untuk check qualitas barang sebelum kirim Cz baru d pake kabel konslet,2
Barangnya bagus  smg awet dehh ni barang""",2
Puas pokoknya dengan harga murah tapi kualits ok lah!,5
"Pengiriman cepat, barang sesuai di gambar",5
"Steamer kualitas jelek, baru baru timer udah rusak. Ga ada merek",2
tidak bisa buat masang jok gak ke pake,2
Pengiriman lamaaa... Fitur barang tidak sesuai dengan yang asli..,2
barang sampai sesuai deskripsi tapi kenapa waktu di pakai langsung rusak ya? kayaknya ga kuat tenaga nya klo sampai 10 meter.... klo pakai yang pendek bisa jalan,1
"Barang sesuai deskripsi.
packing mantab
barang cepat sampai
pagi pesan sore sampe",5
Sesuai dengan foto...semoga awet,5
"Gan....pesan 2 barang, yg datang (dikirim) cuman 1 barang....gimana nich...RUGI BANYAK klo gini",1
Seperti di foto proses cepat,5
"Barang rusak, katanya bisa di bailikin?",1
"Barang bagus, good seller",5
"mengecewakan, tidak sesuai deskripsi, tidak compatible dengan usb 3.0",1
"Thanks, pengiriman cepat, dikirim cepat, packing oke.",4
"beli barang ga bs pake,giliran minta kembali uang,minta dipotong ongkir.drpd ga dibalikin,mau gamau ngikutin.",1
Produk bagus sesuai harapan.,5
Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.,1
thank udah di terima kwalitas oke,5
Kecewa sekali barang baru diterima udah remuk,1
Earphone nya sih dateng tapi ngga sama kabelnya sebelum di packing di cek dulu ya terima kasih ehe,1
Sesuai gambar.. Semoga awet,5
"Kurang sesuai dengan expektasi, karena terdapat kecacatan pada konektor, dan memiliki panjang tiang yang tidak imbang",2
Barangnya suka cuman pengirimannya aja kurang suka,4
makasih gan barang dah sampai.mantaf top dech dah bagus dpt bonus 5pack lg.,5
Sesuai dengan deskripsi,4
Kurang cepat respon penjual nyh,5
biarkan bintang yang berbicara,1
bahan tipis sekali.....semoga kuat sj...,2
"Barang diproses dengan cepat yang otomotasi dikirim juga cepat. Barang sampai dengan selamat, packing oke dan sesuai deskripsi produk. Tks ya.",5
Produk berkualitas bagus dan sangat kuat paku staplesnya. Tks ya,5
"Ssesuai pesanan,  pengiriman lumayan cepat.... Good",5
Goodquality but the Worst marketing managers without any mutual respect for cust,2
packing rapih pengiriman cepattttt,5
"Tahun catridgenya uda expayer 03.2017 dan diantarnya sangat lama , kasi penjelasan gan tahun nya biar tau.",2
barang telah sampai respon nya sangat cepat makasih gan,5
"packing rapi, kualitas oke barang nympe cepet",5
Thanks seller... Good quality good repons..,5
"Penjual krg peduli dan brg jelek. Brg yg dikirim peyot dan pegangannya pecah. Pembeli diminta transfer ongkir untuk ganti produk, yg diganti jg peyot dan pegangan pecah. JANGAN PERNAH BELI DI TOKO INI LAGI GUYS!",1
"barang sdh diterima, anak saya senang. Terima kasih.",4
"Warna sesuai pesanan, cuma tulisan ato gambar tidak jelas kurang terang...bentuk dan lcd tidak sesuai dengan tampilan gambar di tokopedia...padahal awalnya saya bilang cancel...tapi tetep dijalanin...ya so so lah dengan harga segitu ????",2
agak berbeda dengan gambar. tp tetap work thx,4
"Setelah 3 hari jam nya rusak...terkadang dia jalan, terkadang mati sendiri...tolong bantuannya agar jam tsb di tukar krn tidak sesuai dengan harapan saya",5
"mantap bos ku, pengiriman cepat, rapih, ramah dan Sangat tepercaya.....",5
"produk sesuai pesanan saya, mantap",5
"Tidak sesuai permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat ???",1
barang sudah diterima dg baik. maaf reviewnya telat,2
"barang sudah diterima dengan cepat, tetapi seharusnya sebelum dikirim harus di check atau di coba dahulu karena saya beli dua mouse yang berfungsi hanya satu unit. tetapi proses refund berjalan dengan baik.",2
bagus dan cepat sampai!!!,5
barang bagus sukses terus gan,5
"Ukurannya kekecilan, next buat yang lain, lebihin 1 ukuran dari sepatu yang biasa kalian pakai.",2
"mantap orderanya, paking rapi seller ramah dan fasto response",5
alhamdulillah barang langsung sampai dengan cepat.,5
Terima kasih banyak barang telah diterima dengan baik semoga tidak ada kendala,5
Recommended mantap benerrrr jossss,5
"Gambar di iklan hitam , ga dikasih keterangan warna  dikirimnya putih .. ga ada usb receiver nya penjualnya ga kasih solusi .. mau di komplain nnt kasian duitnya ga masuk.. ikhlasin aja lah ..",1
"barnag sudah diterima, belum coba semoga awet",5
terima kasih gan barang sudah sampai maaf late review biarkan bintang berbicara,5
"Sip, produk berfungsi dengan baik",5
Terima kasih. Barang telah diterima dengan baik.,5
Bahan ny bagus gx mudah melar,1
"Straples nya gk bs dipake,  udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi ????",1
Barang rusak tidak bisa dipakai,2
"Tidak berfungsi dengan baik, hanya bisa untuk mouse",1
"Barang tidak sampai sudah sekitar 1 bulan, katanya ada masalah dengan JNE, padahal barang sudah diterima kembali oleh penjual pada tanggal 7 januari 2019. Saya minta dikirim ulang karena saya tidak mau rugi di ongkir, tapi penjual tidak ada respons. Otomatis pada tanggal 14 januari 2019, uang seharga nominal barang kembali ke saldo saya sedangkan uang untuk ongkir hangus, saya jadi rugi.",1
"Pengiriman cepat, fast respon dan barang sesuai (bagusss). Tq ka",5
"Tampilan layar buram gan,jauh beda dengan yang original.",1
jahitan kurang bagus. ada celah besar saya khawatir dipakai 1x robek itu celana,2
"sepatuny bagus, sesuai dg gambar",5
"Barang sangat TIDAK SESUAI dengan deskripsi, penjual jg ga jelas lambat bgt pengiriman sm respon nya

Saran saya klo ga niat jualan barang ini mending jualan yg lain aja

Intinya saya kecewa berat, jgn beli barang ini",1
Barang sampe rumah dengan aman langsung dipake.,5
"Barang tidak sesuai gambar , ukuran sangat kecil",2
Kurang bagus karena gak kena klipnya jadi gak kencang,1
Ouchlccouvpuupvvpuvpuvpuvupuovuvouovcoucoucoucoucoucuocuouv,4
"Respond seller cepat, barang bagus, overall good lah",4
"Pengiriman terlambat karena kurir ekspedisi salah kirim,, barang cukup memuaskan",4
"Produk blm memuaskan, tapi tetap bekerja dgn baik",1
Barang bagus sesuai diskripsinya.. Thanks,4
"Barang ok,packing rapi,cepet sampai ,trmksh ,saya mau pesen lagi..",5
"Tidak dapat berfungsi alatnya, tetapi dimaklumi dgn harga segini",1
"tidak muat di pasang di spion Honda beat pop, gampang di copot bukan anti copet",2
"Barang sesuai gambar, cepat sampainya,fast respon",5
"perasaan ane dah bilang tolong kirim barang dengan kualitas terbaik deh..
ini arah di pencet di lepas gak balik..
tp yasudahlah..
ckckck
-_-&#34;",2
pelayanan yang sangat bagus,5
Pesen 4 barang yg nyampe 2.. Walopun di refund cash.. Tp harusnya ad konfirmasi dulu...,1
"Penjualnya ramah, fast respon dan proses pengiriman jg cepat. recommended",5
"Pak. Ini tinta nya palsu pak. Diblg di comp saya ""counterfeit product"". Hasil tinta mengecewakan. Tlg dicek lg produk nya pak.",2
